ID,EN,NL,DE,FR
<{mollie}prestashop>mollie_a161d8bad0bbf9a18291d25ee3477679;Profile ID cannot be empty;Profiel-ID mag niet leeg zijn;Profil-ID darf nicht leer sein;L'identifiant ne peut être vide
<{mollie}prestashop>mollie_5842c48a7a2e5ed4e547dd781db3738f;Image size must be %s%x%s1%;Bestand grootte moet zijn X;Bildgröße muss x sein;La taille de l'image doit être %s%x%s1%
<{mollie}prestashop>mollie_540b604a59603ea87badfc30e8bad048;not a valid file: %s%;Geen juist bestand;keine gültige Datei;Ficher invalide: %s%x%s1%
<{mollie}prestashop>mollie_6845df2ae38fbe2bf755ccb293d220b8;You are missing database tables. Try resetting module.;Je mist databasetabellen. Probeer de module te resetten.;Es fehlen Datenbanktabellen. Versuchen Sie, das Modul zu resetten.;Il vous manque des banques de données. Essayez de réinitialiser le module.
<{mollie}prestashop>mollie_35895cff7df70dab18783453e2bd241f;Pay with %s;Betaal met %s;Zahlen mit %s;Payer avec %s
<{mollie}prestashop>mollie_66dac2278292ff24611ef8a85bc94e0d;Select your bank:;Selecteer je bank:;Wählen Sie Ihre Bank:;Sélectionnez votre banque :
<{mollie}prestashop>mollie_48fa0f621f79f451e58f200957da5b52;Choose your bank;Kies je bank:;Wählen Sie Ihre Bank aus:;Choisissez votre banque
<{mollie}prestashop>mollie_8953fb7da2299bf905b73720f611baa3;or pay by iDEAL QR;of betaal met iDEAL QR-code;oder zahlen Sie mit iDEAL QR;ou payez avec iDEAL QR
<{mollie}prestashop>mollie_961f2247a2070bedff9f9cd8d64e2650;Choose;Selecteren;Auswahl;Sélectionner
<{mollie}prestashop>mollie_ea4788705e6873b424c65e91c2846b19;Cancel;Annuleren;Abbrechen;Annuler
<{mollie}prestashop>mollie_3602f6d5ece34fdbd4ffe0a47f1a2ba4;Thank you. Your payment has been received.;Dank je wel. Je betaling is ontvangen.;Vielen Dank. Wir haben Ihre Zahlung erhalten.;Merci. Votre paiement a bien été reçu.
<{mollie}prestashop>mollie_32c86f9a2a28a9fa544b97024393633e;No payment methods found;Geen betaalmethodes gevonden;Keine Zahlungsmethoden gefunden;Aucun moyen de paiement trouvé
<{mollie}prestashop>mollie_a34a6659bceae779f28185e757abfca5;AJAX;AJAX;AJAX;AJAX
<{mollie}prestashop>mollie_74873b96b26fbcac6af3154c5dea0656;Resend payment link;Betaallink opnieuw verzenden;Zahlungslink erneut senden;Renvoyer le lien de paiement
<{mollie}prestashop>mollie_ab552f085567bbe63872c10a3596cd27;Payment error:;Fout bij betalen:;Zahlungsfehler:;Erreur de paiement :
<{mollie}prestashop>mollie_iframe_16_a4b29064de828b87f9f9b6fa145cb507;Enter your card information;Vul je kaartgegevens in;Geben Sie Ihre Kartendetails ein;Entrez vos données de carte
<{mollie}prestashop>mollie_iframe_16_63171e216532becbb0be4a43aa4252fa;Card holder;Kaarthouder;Karteninhaber;Titulaire de la carte
<{mollie}prestashop>mollie_iframe_16_a44217022190f5734b2f72ba1e4f8a79;Card number;Kaartnummer;Kartennummer;Numéro de carte
<{mollie}prestashop>mollie_iframe_16_5ea7f231296949070013bc43715aae01;CVC;CVC;CVC;CVC
<{mollie}prestashop>mollie_iframe_16_49753ba0559e716a708373951ea87d1c;Secure payments provided by;Veilige betalingen worden mogelijk gemaakt door;Sichere Zahlungen durch;Paiements sécurisés fournis par
<{mollie}prestashop>mollie_iframe_16_a240fa27925a635b08dc28c9e4f9216d;Order;Bestelling;Bestellung;Commande
<{mollie}prestashop>mollie_iframe_a4b29064de828b87f9f9b6fa145cb507;Enter your card information;Vul je kaartgegevens in;Geben Sie Ihre Kartendetails ein;Entrez vos données de carte
<{mollie}prestashop>mollie_iframe_63171e216532becbb0be4a43aa4252fa;Card holder;Kaarthouder;Karteninhaber;Titulaire de la carte
<{mollie}prestashop>mollie_iframe_a44217022190f5734b2f72ba1e4f8a79;Card number;Kaartnummer;Kartennummer;Numéro de carte
<{mollie}prestashop>mollie_iframe_5ea7f231296949070013bc43715aae01;CVC;CVC;CVC;CVC
<{mollie}prestashop>mollie_iframe_49753ba0559e716a708373951ea87d1c;Secure payments provided by;Veilige betalingen worden mogelijk gemaakt door;Sichere Zahlungen durch;Paiements sécurisés fournis par
<{mollie}prestashop>smarty_error_9d1fbbe0d150b89f068ba72a20366659;The configuration option \"%s\" has been set to \"%s\";De configuratie-optie \"%s\" is ingesteld op \"%s\";Die Konfigurationsoption \"%s\" wurde in \"%s\"" geändert;L'option de configuration \"%s\" a été réglée sur \"%s\"
<{mollie}prestashop>smarty_error_27dd3bb10855eb84f48efedf6924c4c1;This makes it impossible to list payment methods on the checkout;Dit maakt het onmogelijk om betaalmethodes te tonen bij het afrekenen;Hierdurch ist das Anzeigen von Zahlungsmethoden beim Checkout nicht möglich;Cela empêche de lister les moyens de paiement au checkout
<{mollie}prestashop>smarty_error_4ec23c59d832a2934277a2a040918789;Please navigate to the page \"%s\" and choose the other option;Navigeer naar de pagina \"%s\"en kies de andere optie;Gehen Sie auf Seite \"%s\" und wählen Sie die andere Option;Veuillez accéder à la page \"%s\" et choisir l'autre option
<{mollie}prestashop>smarty_error_92b67311c1a5d6cfc28ba08a1066c901;Afterwards, clear the cache one more time, so the payment method list can be refreshed;Wis de cache daarna nog een keer, zodat de lijst met betaalmethodes kan worden vernieuwd;Löschen Sie anschließend nochmals den Cache, um die Liste der Zahlungmethoden zu aktualisieren;Ensuite, effacez de nouveau le cache, afin que la liste des moyens de paiement puisse être actualisée
<{mollie}prestashop>mollie_awaiting_order_status_error_df6afbc66efff37559c2ad3512555fc9;Please select order status for the \"Status for Awaiting payments\" field in the \"Advanced settings\" tab
<{mollie}prestashop>payment_334721e5f1ee825da687fcaede010724;Payment Fee:;Kosten betaalmethode;Zahlungsgebühr:;Frais de paiement :
<{mollie}prestashop>order_info_729a51874fe901b092899e9e8b31c97a;Are you sure?;Weet je het zeker?;Sind Sie sicher?;Êtes-vous sûr ?
<{mollie}prestashop>order_info_ccaf4ee393d094ecde7f21b15fdf8f1f;Are you sure you want to refund this order?;Weet je zeker dat je deze bestelling wilt terugbetalen?;Sind Sie sicher, dass Sie diese Bestellung erstatten möchten?;Êtes-vous sûr de vouloir rembourser cette commande ?
<{mollie}prestashop>order_info_76f0ed934de85cc7131910b32ede7714;Refund;Terugbetalen;Erstatten;Rembourser
<{mollie}prestashop>order_info_ea4788705e6873b424c65e91c2846b19;Cancel;Annuleren;Abbrechen;Annuler
<{mollie}prestashop>order_info_88ba0dcbc82905637e98317e0302cfd8;Refund order;Bestelling terugbetalen;Bestellung erstatten;Rembourser la commande
<{mollie}prestashop>order_info_e03ed4aabeff96ca7c80a6bae8ddfcc1;Refundable;Restitueerbaar;Rückerstattbar;Remboursable
<{mollie}prestashop>order_info_77fd2b4393b379bedd30efcd5df02090;Partial refund;Gedeeltelijke terugbetaling;Teilweise Erstattung;Remboursement partielle
<{mollie}prestashop>order_info_a9ced76f2dd6907220fa95b3a136b04a;Invalid amount;Ongeldig bedrag;Ungültiger Betrag;Montant non valide
<{mollie}prestashop>order_info_3a2c3e97fed586776c2800fb7a0faf4e;You have entered an invalid amount;Je hebt een ongeldig bedrag ingevoerd;Der angegebene Betrag ist ungültig;Vous avez saisi un montant non valide
<{mollie}prestashop>order_info_3cc4859e502556d0d848c3bc38618782;Refund failed;Terugbetaling mislukt;Erstattung fehlgeschlagen;Échec du remboursement
<{mollie}prestashop>order_info_d5cfd0f69cd548e5d3b9edde5ff1b48f;Payment info;Betaalinformatie;Zahlungsinformation;Informations de paiement
<{mollie}prestashop>order_info_88427ec035734b45aae9f7d8859a5008;Transaction ID;Transactie-ID;Transaktions-ID;Numéro de transaction
<{mollie}prestashop>order_info_782678f4ba02feb3e9ecd51e902cd16b;Refund history;Terugbetalingsgeschiedenis;Rückzahlungshistorie;Historique des remboursements
<{mollie}prestashop>order_info_c5b41ae59bd6585750f536615a6bc20b;There are no refunds;Er zijn geen terugbetalingen;Keine Rückzahlungen vorhanden;Il n'y a aucun remboursement
<{mollie}prestashop>order_info_b718adec73e04ce3ec720dd11a06a308;ID;ID;ID;Identifiant
<{mollie}prestashop>order_info_44749712dbec183e983dcd78a7736c41;Date;Datum;Datum;Date
<{mollie}prestashop>order_info_b2f40690858b404ed10e62bdf422c704;Amount;Bedrag;Betrag;Montant
<{mollie}prestashop>order_info_53beb26d8bca00f56fbd295fdee83459;Refunds;Terugbetalingen;Rückzahlungen;Remboursements
<{mollie}prestashop>order_info_daef64964ee3b9b904f5d467586e217f;Payments;Betalingen;Zahlungen;Paiements
<{mollie}prestashop>order_info_e25be354288565757726f3295e4f3ef9;Current amount;Huidig bedrag;Aktueller Betrag;Montant actuel
<{mollie}prestashop>order_info_068f80c7519d0528fb08e82137a72131;Products;Producten;Produkte;Produits
<{mollie}prestashop>order_info_ec53a8c4f07baed5d8825072c89799be;Status;Status;Status;Statuts
<{mollie}prestashop>order_info_747cf5c8587184b9e489ff897d97c20d;Shipped;Verzonden;Versand;Livré
<{mollie}prestashop>order_info_0e22fe7d45f8e5632a4abf369b24e29c;Canceled;Geannuleerd;Storniert;Annulé
<{mollie}prestashop>order_info_cc61945cbbf46721a053467c395c666f;Refunded;Terugbetaald;Zurückerstattet;Remboursé
<{mollie}prestashop>order_info_197101c4a1b1fc503dcd6ebee127aa10;Unit Price;Prijs per stuk;Preis pro Einheit;Prix unitaire
<{mollie}prestashop>order_info_11cd653a2488e260a8a99f39cdffa6e7;VAT Amount;BTW bedrag;Summe USt.;Montant TVA
<{mollie}prestashop>order_info_bc30768048a7bbfd2d158d722c140c6d;Total amount;Totaalbedrag;Gesamtsumme;Montant total
<{mollie}prestashop>order_info_0387832795db3eb2e05f4365fba5ddac;Ship;Verzenden;Versenden;Envoyer
<{mollie}prestashop>order_info_55453aad10c96e452556a106447313bd;Review shipment;Controleer de verzending;Versand kontrollieren;Vérifier l'envoi
<{mollie}prestashop>order_info_dbb5bbb116e16973136b9ebd887eaadd;Please review the products included in your shipment. You can remove items or change quantity if needed.;Controleer de producten die bij je zending zijn inbegrepen. Als het nodig is kun je artikelen verwijderen of het aantal wijzigen.;Bitte prüfen Sie die Produkte im Versand. Bei Bedarf können Artikel gelöscht und kann die Menge geändert werden.;Veuillez vérifier les produits de votre envoi. Vous pouvez retirer des articles ou si besoin modifier leur quantité.
<{mollie}prestashop>order_info_e0aa021e21dddbd6d8cecec71e9cf564;OK;OK;OK;OK
<{mollie}prestashop>order_info_163bcc6065b16c6369c7a4de44cff164;Ship products;Producten verzenden;Produkte versenden;Envoyer les produits
<{mollie}prestashop>order_info_433557a938a920888445ce2c7df67d5a;Tracking details;Trackinggegevens;Sendungsdetails;Détails de suivi
<{mollie}prestashop>order_info_61995a579a6166642e759450a694642b;Adding tracking information to your shipment is recommended, as it will prove that you actually shipped your products to your customer.;Het wordt aanbevolen om trackinginformatie aan je verzending toe te voegen, omdat hiermee wordt aangetoond dat je de producten daadwerkelijk naar je klant hebt verzonden.;Wir empfehlen Ihnen, der Sendung Sendungsinformationen hinzuzufügen. Diese belegen, dass die Produkte tatsächlich auf dem Weg zum Kunden sind.;Il est recommandé d'ajouter des informations de suivi à votre envoi, cela prouvera au client que vous avez bien envoyé les produits.
<{mollie}prestashop>order_info_26b6254fefc06894825a50dfbe803937;Skip tracking details;Sla trackinggegevens over;Sendungsdetails überspringen;Passer les détails de suivi
<{mollie}prestashop>order_info_d57c24f3fe52d16e7169b912dd647f0d;optional;optioneel;optional;facultatif
<{mollie}prestashop>order_info_2df417909bda5f3ddc210a0abe65231f;E.g. FedEx;Bijv. FedEx;Z. B. FedEx;Par ex. FedEx
<{mollie}prestashop>order_info_593ed3a37aa1a3ece4a4d796fb4e2e03;This information is required;Deze informatie is verplicht;Diese Informationen sind erforderlich;Cette information est nécessaire
<{mollie}prestashop>order_info_933292561b46133ff5348c7740874c56;Tracking code;Tracking-code;Sendungsnummer;Code de suivi
<{mollie}prestashop>order_info_e6b391a8d2c4d45902a23a8b6585703d;URL;URL;URL;URL
<{mollie}prestashop>order_info_914419aa32f04011357d3b604a86d7eb;Carrier;Vervoerder;Logistikdienstleister;Transporteur
<{mollie}prestashop>order_info_23a902ac637359fe67ceaccbe2c68283;Ship all;Alles verzenden;Alle versenden;Tout envoyer
<{mollie}prestashop>order_info_2a6e9f678c7267fe16f57bcd3285f1d7;Cancel all;Alles annuleren;Alle stornieren;Tout annuler
<{mollie}prestashop>order_info_05ced64413f9ff5d3602c3e257f36204;Refund all;Alles terugbetalen;Alle erstatten;Tout rembourser
<{mollie}prestashop>order_info_bfe005bff7ecacd6ecceacdd7fb79292;Transaction info;Transactie-info;Transaktionsinformationen;Informations de transaction
<{mollie}prestashop>order_info_61066fef1e8173dc711f55bbedb8839c;Voucher info;Tegoedbon informatie;Gutscheininfo;Information du coupon
<{mollie}prestashop>order_info_1eefa98a18a384699fe611fbfd8ab0c9;There are no products;Er zijn geen producten;Keine Produkte vorhanden;Il n'y a aucun produit
<{mollie}prestashop>order_info_a25c753ee3e4be15ec0daa5a40deb7b8;An error occurred;Er is een fout opgetreden;Ein Fehler ist aufgetreten;Un problème est survenu
<{mollie}prestashop>order_info_2df3102f3fe061003dee820a72e1b1ed;Unable to ship;Kan niet worden verzonden;Versand nicht möglich;Impossible d'envoyer
<{mollie}prestashop>order_info_3efc29552025b4e68de04f415b0b8806;Unable to refund;Kan niet worden terugbetaald;Restattung nicht möglich;Impossible de rembourser
<{mollie}prestashop>order_info_468a92810b526750be9664461db6bf91;Unable to cancel;Kan niet worden geannuleerd;Stornierung nicht möglich;Impossible d'annuler
<{mollie}prestashop>order_info_2427b479f15af44582dc151ef95a90d0;Refunds are currently unavailable;Terugbetalingen zijn op dit moment niet mogelijk;Rückzahlungen sind derzeit nicht verfügbar;Les remboursements sont actuellement indisponibles
<{mollie}prestashop>order_info_20c72bbfdf74d618a4b8a11100e864a0;Refund was made successfully!;De terugbetaling is succesvol uitgevoerd;Rückzahlung erfolgreich!;Le remboursement a été réalisé avec succès !
<{mollie}prestashop>order_info_c7eb2a728623db5eedf0e12d21ffa604;Shipment was made successfully!;Succesvol verzonden;Erfolgreich versandt!;L'envoi a été réalisé avec succès !
<{mollie}prestashop>order_info_fab41c52197c448eea0edde8951e4e59;Order was canceled successfully!;Bestelling is succesvol geannuleerd;Bestellung erfolgreich storniert!;La commande a été annulée avec succès !
<{mollie}prestashop>order_info_4c3880bb027f159e801041b1021e88e8;Method;Methode;Methode;Méthode
<{mollie}prestashop>order_info_0d9a008e0f657ee4a4f397d8d2244f9c;Remainder method;Resterende methode;Restmethode;Méthode pour le montant restant
<{mollie}prestashop>order_info_51360304ea03557e79bdf5ff9cd2e234;Issuer;Uitgever;Aussteller;Emetteur
<{mollie}prestashop>order_info_9994a89dad36e856927ffbe89157261c;Warning! This order is (partially) paid using a voucher. You can refund a maximum of %1s.;Let op! Deze bestelling is (deels) betaald met gebruik van een tegoedbon. Je kan maximaal X laten terugbetalen;Warnung! Diese Bestellung wird (teilweise) mit einem Gutschein bezahlt. Sie können maximal% 1s zurückerstatten.;Attention ! Cette commande est {partiellement} payée avec un coupon. Vous pouvez rembourser un maximum de %1s.
<{mollie}prestashop>ideal_dropdown_ab4147235204a436c09e00d6722082ab;Choose a bank;Kies een bank;Wählen Sie eine Bank;Choisissez une banque
<{mollie}prestashop>smarty_warning_9d1fbbe0d150b89f068ba72a20366659;The configuration option \"%s\" has been set to \"%s\";De configuratie-optie \"%s\" is ingesteld op \"%s\";Die Konfigurationsoption \"%s\" wurde in \"%s\"" geändert;L'option de configuration \"%s\" a été réglée sur \"%s\"
<{mollie}prestashop>smarty_warning_e7e747f9c74f0b8222c87db24d34f018;It is possible that not all payment methods can be displayed;Mogelijk kunnen niet alle betaalmethodes worden weergegeven;Möglicherweise werden nicht alle Zahlungsarten angezeigt;Il est possible que tous les moyens de paiement ne soient pas affichés
<{mollie}prestashop>smarty_warning_1238db0fb782f758b5a54d6333b3610e;To fix this problem, navigate to the page \"%s\" and clear the cache manually or choose one of the other options;Om dit probleem op te lossen, ga je naar \"%s\" en wis je de cache handmatig, of kies je een van de andere opties;Um dieses Problem zu beheben, gehen Sie auf Seite \"%s\" und löschen Sie den Cache oder wählen Sie eine der anderen Optionen;Pour résoudre ce problème, accédez à la page \"%s\" et videz le cache manuellement ou choisissez l'une des autres options
<{mollie}prestashop>rounding_error_7783c757cd1177e60888080e0f4e0593;The configuration option \"%s\" has been set to an unsupported value;De configuratie-optie \"%s\" is ingesteld op een waarde die niet wordt ondersteund;Die Konfigurationsoption \"%s\" wurde auf einen Wert gesetzt, der nicht unterstützt wird;L'option de configuration \"%s\" a été réglée sur une valeur non supportée
<{mollie}prestashop>rounding_error_2279522d0910767ffa75e0b39ed1629f;The selected rounding mode is not supported by the Mollie Orders API;De geselecteerde afrondingsmodus wordt niet ondersteund door de Orders API van Mollie;Der gewählte Rundungsmodus wird von den Mollie Auftrags-APIs nicht unterstützt;Le mode arrondi sélectionné n'est pas pris en charge par l'API de commande Mollie
<{mollie}prestashop>rounding_error_3a92c96baa86286685b233e6912e718d;Please navigate to the page \"%s\" and choose the option \"%s\";Ga naar \%s \" en kies de optie \"%s\";Gehen Sie auf Seite \"%s\" und wählen Sie die Option \"%s\";Veuillez accéder à la page \"%s\" et choisir l'option \"%s\"
<{mollie}prestashop>17_error_47e1924c444fafe9fdfce444790f0ba9;Back to your shopping cart;Terug naar winkelmandje;Zurück zum Warenkorb;Revenir à votre panier
<{mollie}prestashop>error_c453a4b8e8d98e82f35b67f433e3b4da;Payment;Betaling;Zahlung;Paiement
<{mollie}prestashop>error_1e97d97a923eaddd810e056c828e99ea;Payment error;Fout bij betaling;Zahlungsfehler;Erreur de paiement
<{mollie}prestashop>error_a25c753ee3e4be15ec0daa5a40deb7b8;An error occurred;Er is een fout opgetreden;Ein Fehler ist aufgetreten;Un problème est survenu
<{mollie}prestashop>error_47e1924c444fafe9fdfce444790f0ba9;Back to your shopping cart;Terug naar winkelmandje;Zurück zum Warenkorb;Revenir à votre panier
<{mollie}prestashop>mollie_wait_bc0dd919f9a70dbb62f3f7afd68d6d68;Awaiting payment status;In afwachting van betaalstatus;Warten auf Zahlungsstatus;En attente de l'état du paiement
<{mollie}prestashop>qr_done_92816c7248d010591f699db3aaf6287b;Mollie iDEAL QR;Mollie iDEAL QR;Mollie iDEAL QR;Mollie iDEAL QR
<{mollie}prestashop>qr_done_ebdf0f490b617d7efa3025d3625cec85;Welcome back;Welkom terug;Willkommen zurück;Bon retour parmi nous
<{mollie}prestashop>qr_done_4bf3a07ce980c9b007f9e2eed42d7fa2;The payment has been canceled.;De betaling is geannuleerd;Der Zahlungsvorgang wurde abgebrochen.;Le paiement a été annulé.
<{mollie}prestashop>qr_done_6933c118341d8c06f888c392aa1ceaf5;The payment has been completed. Thank you for your order!;De betaling is voltooid. Bedankt voor je bestelling!;Der Zahlungsvorgang ist abgeschlossen. Vielen Dank für Ihre Bestellung!;Le paiement a été effectué. Merci pour votre commande !
<{mollie}prestashop>order-confirmation-table_386dcc0479b05fd2b1d40dbb8f649287;Payment Fee;Transactiekosten;Gebühr;Commission sur le paiement
<{mollie}prestashop>order_fail_28726b6ad52c9eae94be432666f93449;Your order is canceled;Je bestelling is geannuleerd;Ihre Bestellung wurde storniert;Votre commande est annulée
<{mollie}prestashop>mollie_return_ebdf0f490b617d7efa3025d3625cec85;Welcome back;Welkom terug;Willkommen zurück;Bon retour parmi nous
<{mollie}prestashop>mollie_return_300225ee958b6350abc51805dab83c24;Continue shopping;Verder winkelen;Einkauf fortsetzen;Continuer les achats
<{mollie}prestashop>api_test_results_941443041ba071a6bfb3bd7a07073280;Test API-key: Failed! Key must start with test_.
<{mollie}prestashop>api_test_results_5c64aa487c62db1d94d6929cacbb010b;Test API-key: Success!;Test API-key: Succesvol;Test-API-Schlüssel: Erfolgreich!;Test clé API : Succès !
<{mollie}prestashop>api_test_results_0c5221f34749dad4117651537a7b2ca7;Enabled Methods: ;Ingeschakelde methodes:;Aktivierte Methoden:;Méthodes activées :
<{mollie}prestashop>api_test_results_c6cfe95a3567e48b62c117316488add8;Test API-key: Failed! Key does not exist.
<{mollie}prestashop>api_test_results_7f89660598e41b06865b234369b8fa8e;Live API-key: Failed! Key must start with live_.
<{mollie}prestashop>api_test_results_1dd9589842aeb1f47bf2de96ff35ea76;Live API-key: Success!;Live API-key: Succesvol;Live-API-Schlüssel: Erfolgreich!;Live clé API : Succès !
<{mollie}prestashop>api_test_results_168a20d655e73e75f2a4380bc317219a;Live API-key: Failed! Key does not exist.
<{mollie}prestashop>create_new_account_link_936ccdb97115e9f35a11d35e3d5b5cad;Click here;Klik hier;Hier klicken;Cliquez ici
<{mollie}prestashop>create_new_account_link_1946a645ad247c90c404e8341ca15497;to create a new account;om een nieuw account aan te maken;um ein neues Benutzerkonto zu erstellen;pour créer un nouveau compte
<{mollie}prestashop>invoice_description_3aca8395fdcfea5a5f5c59fee793391e;When do you want the invoice for Klarna Payments?;Wanneer wil je de factuur voor Klarna Payments?;Wann möchten Sie die Rechnung für Klarna Payments?;Quand souhaitez vous la facture pour des paiements Klarna ?
<{mollie}prestashop>invoice_description_24ef4d7a34d429fa1e951e9343e209f0;On Authorize: Create a full invoice when the order is authorized;Bij Authorizatie: creeer een volledige factuur wanneer de bestelling is geauthorizeerd;Bei Autorisierung: Erstellen Sie eine vollständige Rechnung, wenn die Bestellung autorisiert ist;Authorisation : Créer la facture complète quand la commande est authorisée
<{mollie}prestashop>invoice_description_115370eb756ae254c07469016f4f5be8;On Shipment: Create a full invoice when the order is shipped;Bij Verzending: creeer een volledige factuur wanneer de bestelling is verzonden;Bei Versand: Erstellen Sie eine vollständige Rechnung, wenn die Bestellung versendet wird;À l'envoie : Créer la facture complète quand la commande est envoyée
<{mollie}prestashop>order_total_refresh_results_7c25586818f24584279b6cfd869c985a;Successfully updated order total restriction values
<{mollie}prestashop>invoice_fee_386dcc0479b05fd2b1d40dbb8f649287;Payment Fee;Transactiekosten;Gebühr;Commission sur le paiement
<{mollie}prestashop>form_26ce015f99bef6d5de2142b2b774525f;Developed by Invertus;Ontwikkeld door Invertus;Entwickelt von Invertus;Développé par Invertus
<{mollie}prestashop>form_1c04b154909c88cfc62b3362c88445af; - the most technically advanced agency in the PrestaShop ecosystem.;– het technisch meest geavanceerde bureau in het PrestaShop-ecosysteem.;– die technisch fortschrittlichste Agentur im PrestaShop-System.; - l'agence la plus avancée techniquement de l'écosystème PrestaShop.
<{mollie}prestashop>form_2184beb14eaa0bca77ea5d1b3197813a;More info on Mollie;Meer info over Mollie;Mehr Informationen zu Mollie;Plus d'informations sur Mollie
<{mollie}prestashop>form_1c2e79c1715dbe3f3208a7991abc50f0;Contact Mollie;Contact opnemen met Mollie;Kontakt Mollie;Contacter Mollie
<{mollie}prestashop>form_2d059d2c499450d4e083d28f5f47f63d;Contact Invertus;Contact opnemen met Invertus;Kontakt Invertus;Contacter Invertus
<{mollie}prestashop>form_00d23a76e43b46dae9ec7aa9dcbebb32;Enabled;Ingeschakeld;Aktiviert;Activé
<{mollie}prestashop>form_bafd7322c6e97d25b6299b5d6fe8920b;No;Nee;Nein;Non
<{mollie}prestashop>form_93cba07454f06a4a960172bbd6e2a435;Yes;Ja;Ja;Oui
<{mollie}prestashop>form_b78a3223503896721cca1303f776159b;Title;Titel;Titel;Titre
<{mollie}prestashop>form_4c3880bb027f159e801041b1021e88e8;Method;Methode;Methode;Méthode
<{mollie}prestashop>form_8c2b4949d892b39b236545951f10bbd4;Payments API;Payments API;Zahlungs-API;API de paiement
<{mollie}prestashop>form_a8b0255f70ecc140a1b5134ae5217e51;Orders API;Orders API;Auftrags-API;API de commande
<{mollie}prestashop>form_b5a7adde1af5c87d7fd797b6245c2a39;Description;Beschrijving;Beschreibung;Description
<{mollie}prestashop>form_9ca2ad5002087a1041617c8510172105;The description to be used for this transaction. These variables are available:;De beschrijving die voor deze transactie moet worden gebruikt. Deze variabelen zijn beschikbaar:;Die Beschreibung, die für diese Transaktion verwendet werden soll. Diese Variablen sind verfügbar:;La description qui sera utilisé pour cette transaction. Les variables sont:
<{mollie}prestashop>form_5e0c1de38ae2b71a822cea48cadb93d3;{orderNumber};{orderNumber};{orderNumber};{numérodeCommande}
<{mollie}prestashop>form_4be0c1d09fd863380314973c8601cf0f;{storeName};{storeName};{storeName};{nomduMagasin}
<{mollie}prestashop>form_1e6760bc678e83d39c7e4ae4736df900;{countryCode}
<{mollie}prestashop>form_fd7fd8309d25160a730df8e2206ccf3e;{cart.id};{cart.id};{cart.id};{identifiant.panier}
<{mollie}prestashop>form_096c87dcbc42c70cdc3ce6452ffab5db;{order.reference};{order.reference};{order.reference};{référence.commande}
